1981.14.11,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #3",Navajo,,"Yei Weaving, 20th century"
1981.14.12,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #3",Navajo,,"Weaving, 20th century"
1981.14.13,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62P",Rio Grande,,"Blanket, mid 19th century"
1981.25.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Arthur Bowen Davies,,"Marjorie, late 19th–early 20th Century"
1981.26.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Raul Schur,,"Untitled, 20th century"
1982.7.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 45B",John McCurdy,,"Descent from Above, 1971"
1982.24.1.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B","Paracas, or Nazca",,"Tassel, c. 500 BCE"
1982.24.1.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B","Paracas, Nazca",,"Tassel, c. 500 BCE"
1982.27.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62O",Bolivian,,"Two Joined Textile Panels, c. 1900"
1982.27.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Bolivian,,"Manta, 1900s"
1982.27.4,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 10",Bolivian,,"Half Aksu, 1900s"
1982.27.6,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63P, Textile Roll # 17",Bolivian,,"Balandran (horseman's poncho), 1900s"
1982.27.7,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 6","Calcha, Potosi",,"Poncho, 1900s"
1982.27.8,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Bolivian,,"Manta, 1900s"
1982.27.9,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Bolivian,,"Poncho, 1900s"
1982.27.13,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #3",Potosi,,"Poncho, 1960s"
1982.27.14,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Peruvian,,"Poncho, 1970s"
1982.27.15,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62O",Bolivian,,"Poncho, c. 1965"
1982.27.16,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 9",Bolivian,,"Asku, c. 1970"
